Research ID,Race,International,Sex,Miles,Commuter,Dorm,IowaResident,SchoolofMajor,Athlete,HSRank,ACTComp,ACTMath,ACTEng,HSGPA,BVGPA,Hrs,Returned
4734,E,0,1,200-224,0,E,0,H,2,0.669,15,16,9,2.56,1.75,12,1
4735,A,0,1,60-69,0,C,1,I,2,0.241,22,19,21,3.47,3.25,12,1
4736,A,0,1,100-109,0,E,1,I,1,0.148,23,23,19,3.48,3.333,9,0
4737,A,0,1,10-19,0,E,1,K,1,0.552,24,18,22,3.09,2.214,14,1
4739,A,0,0,100-109,0,A,1,F,1,0.161,24,23,23,3.45,2.4,15,1
4740,A,0,0,60-69,0,A,1,F,1,0.036,23,24,22,3.7,3.8,15,0
4741,G,0,0,110-119,0,A,1,F,1,0.608,20,18,22,2.69,2.4,15,1
4742,A,0,1,0-9,0,E,1,I,1,0.114,27,25,29,3.6,3,14,1
4743,A,0,1,20-29,0,E,1,J,2,0.781,19,17,19,2.52,0,15,0
4744,A,0,0,60-69,0,A,1,I,2,0.314,19,21,17,3.42,3.25,12,1
4747,A,0,1,400-499,0,E,0,J,1,0.814,23,21,26,2.47,0,12,0
4750,A,0,1,40-49,0,E,1,G,2,0.886,21,19,18,2.25,1,12,1
4751,A,0,0,30-39,0,A,1,G,1,0.494,26,25,26,3.03,2.6,15,1
4752,I,0,1,0-9,0,D,1,H,2,,20,16,20,2.7,0.785,14,1
4753,A,0,0,50-59,0,A,1,G,1,0.577,18,19,20,2.79,2.75,12,1
4755,A,0,1,130-139,0,C,1,K,1,0.352,19,21,17,3.13,1.642,14,1
4756,A,0,0,90-99,0,C,0,F,1,0.441,22,21,25,3.4,2.4,15,0
4757,G,0,1,130-139,0,E,0,H,2,0.345,21,19,19,3.43,2.75,12,1
4759,A,0,1,0-9,0,C,1,G,1,0.2,24,26,23,3.14,3.166,12,1
4761,A,0,0,40-49,0,A,1,H,2,0.103,22,23,19,3.92,3.562,16,1
4763,A,0,0,30-39,0,A,1,F,2,0.818,15,16,13,2.4,0.5,12,0
4764,A,0,1,110-119,0,E,1,K,2,0.137,29,25,26,3.85,3.393,16.5,1
4765,A,0,0,40-49,0,B,1,G,2,0.068,24,24,24,3.85,3.785,14,1
4767,A,0,1,10-19,0,E,1,I,1,0.606,20,19,20,2.9,4,14,1
4769,A,0,0,0-9,1,,1,H,1,0.217,20,16,23,3.86,3.8,15,1
4770,J,0,1,10000-10000,0,E,0,G,2,0.548,,,,3.36,0.25,12,0
4771,A,0,0,180-189,0,B,1,K,2,0.182,26,28,25,4.04,4,15,1
4772,A,0,0,100-109,0,C,1,K,2,0.125,22,20,22,3.81,3.384,13,1
4773,A,0,1,30-39,0,E,1,K,1,0.309,25,25,25,3.52,3.142,14,1
4774,A,0,0,110-119,0,C,1,G,2,0.481,23,24,21,3.26,3.071,14,1
4775,A,0,1,100-109,0,E,1,H,1,0.338,22,23,21,3.28,2.8,15,1
4776,A,0,0,100-109,0,C,1,F,1,0.113,24,19,25,3.93,4,14,1
4777,E,0,1,250-274,0,E,0,F,2,0.601,20,17,19,2.56,2.6,15,1
4780,A,0,0,100-109,0,A,1,G,1,0.14,22,26,22,3.67,3.562,16,1
4781,G,0,1,0-9,0,E,1,J,1,0.308,20,18,19,3.14,3.5,12,1
